TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO FI MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;505645656.06;;2024-01-29;SDE;DI1 X REU
FI;09.228.836/0001-12;HORIZON FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;851562491.50;;2024-01-29;Outros;999 X 999
FI;09.228.836/0001-12;HORIZON FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;2612318.35;;2024-01-29;SCP;DOL X PRE
FI;09.228.836/0001-12;HORIZON FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;43787453.31;;2024-01-29;SDP;DI1 X PRE
FI;09.228.836/0001-12;HORIZON FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1105804.22;;2024-01-29;SDL;DI1 X IAP
FI;09.228.836/0001-12;HORIZON FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;69791993.52;;2024-01-29;SDC;DI1 X DOL
FI;09.228.836/0001-12;HORIZON FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;17454178.73;;2024-01-29;SCP;DOL X PRE
FI;09.228.836/0001-12;HORIZON FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;10686232.48;;2024-01-29;SDC;DI1 X DOL
FI;09.228.836/0001-12;HORIZON FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;5088677.27;;2024-01-29;SDL;DI1 X IAP
FI;09.228.836/0001-12;HORIZON FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;11226872.30;;2024-01-29;SDP;DI1 X PRE
FI;09.228.836/0001-12;HORIZON FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;61069259.11;;2024-01-29;Outros;999 X 999
FI;09.241.756/0001-05;BRAM H FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO VOLGA;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;48976214.64;;;SDL;DI1 X IAP
FI;09.241.756/0001-05;BRAM H FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO VOLGA;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;23747928.81;;;SDL;DI1 X IAP
FI;09.522.470/0001-90;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO PREÇOS;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;2630495.24;;;SDL;DI1 X IAP
FI;09.522.470/0001-90;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO PREÇOS;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;3636238.54;;;SDL;DI1 X IAP
FI;09.523.207/0001-15;BRADESCO FUNDO DE INVESTIMENTO MULTIMERCADO TEJO;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1736443.67;;;SDL;DI1 X IAP
FI;09.523.207/0001-15;BRADESCO FUNDO DE INVESTIMENTO MULTIMERCADO TEJO;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;597151.43;;;SDL;DI1 X IAP
FI;09.577.034/0001-18;CAIEIRAS FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;37890753.91;;;SDP;DI1 X PRE
FI;09.577.034/0001-18;CAIEIRAS FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;22139499.95;;;SDP;DI1 X PRE
